"package","version","declared_licence","repository_paths"
"side-channel-map","1.0.1","MIT","node_modules/side-channel-map"
"side-channel-weakmap","1.0.2","MIT","node_modules/side-channel-weakmap"
"side-channel","1.1.0","MIT","node_modules/side-channel"
"signal-exit","3.0.7","ISC","node_modules/gauge/node_modules/signal-exit"
"signal-exit","4.1.0","ISC","node_modules/signal-exit"
"simple-concat","1.0.1","MIT","node_modules/simple-concat"
"simple-get","4.0.1","MIT","node_modules/simple-get"
"smart-buffer","4.2.0","MIT","node_modules/smart-buffer"
"socks-proxy-agent","8.0.5","MIT","node_modules/socks-proxy-agent"
"socks","2.8.7","MIT","node_modules/socks"
"source-map","0.6.1","BSD-3-Clause","node_modules/escodegen/node_modules/source-map"
"split2","4.2.0","ISC","node_modules/split2"
"sql-highlight","6.1.0","MIT","node_modules/sql-highlight"
"standard-as-callback","2.1.0","MIT","node_modules/standard-as-callback"
"statuses","2.0.2","MIT","node_modules/statuses"
"streamsearch","1.1.0","MIT","node_modules/streamsearch"
"streamx","2.25.0","MIT","node_modules/streamx"
"string_decoder","1.1.1","MIT","node_modules/duplexer2/node_modules/string_decoder | node_modules/lazystream/node_modules/string_decoder"
"string_decoder","1.3.0","MIT","node_modules/string_decoder"
"string-width","4.2.3","MIT","node_modules/string-width | node_modules/string-width-cjs"
"string-width","5.1.2","MIT","node_modules/@isaacs/cliui/node_modules/string-width"
"strip-ansi","6.0.1","MIT","node_modules/strip-ansi | node_modules/strip-ansi-cjs"
"strip-ansi","7.2.0","MIT","node_modules/@isaacs/cliui/node_modules/strip-ansi"
"strip-json-comments","2.0.1","MIT","node_modules/rc/node_modules/strip-json-comments"
"stripe","17.7.0","MIT","node_modules/stripe"
"strtok3","10.3.4","MIT","node_modules/strtok3"
"supports-color","7.2.0","MIT","node_modules/supports-color"
"swagger-ui-dist","5.17.14","Apache-2.0","node_modules/swagger-ui-dist"
"tar-fs","2.1.4","MIT","node_modules/prebuild-install/node_modules/tar-fs"
"tar-fs","3.1.2","MIT","node_modules/tar-fs"
"tar-stream","2.2.0","MIT","node_modules/tar-stream"
"tar-stream","3.2.0","MIT","node_modules/archiver/node_modules/tar-stream | node_modules/tar-fs/node_modules/tar-stream"
"tar","6.2.1","ISC","node_modules/tar"
"teex","1.0.1","MIT","node_modules/teex"
"text-decoder","1.2.7","Apache-2.0","node_modules/text-decoder"
"to-buffer","1.2.2","MIT","node_modules/to-buffer"
"toidentifier","1.0.1","MIT","node_modules/toidentifier"
"token-types","6.1.2","MIT","node_modules/token-types"
"tr46","0.0.3","MIT","node_modules/tr46"
"ts-node","10.9.2","MIT","node_modules/ts-node"
"tslib","2.8.1","0BSD","node_modules/tslib"
"tunnel-agent","0.6.0","Apache-2.0","node_modules/tunnel-agent"
"type-fest","0.20.2","(MIT OR CC0-1.0)","node_modules/type-fest"
"type-is","1.6.18","MIT","node_modules/type-is"
"typed-array-buffer","1.0.3","MIT","node_modules/typed-array-buffer"
"typed-query-selector","2.12.2","MIT","node_modules/typed-query-selector"
"typedarray","0.0.6","MIT","node_modules/typedarray"
"typeorm","0.3.28","MIT","node_modules/typeorm"
"typescript","5.9.3","Apache-2.0","node_modules/typescript"
"uid","2.0.2","MIT","node_modules/uid"
"uint8array-extras","1.5.0","MIT","node_modules/uint8array-extras"
"undici-types","6.21.0","MIT","node_modules/undici-types"
"universalify","2.0.1","MIT","node_modules/universalify"
"unpipe","1.0.0","MIT","node_modules/unpipe"
"unzipper","0.12.3","MIT","node_modules/unzipper"
"util-deprecate","1.0.2","MIT","node_modules/util-deprecate"
"utils-merge","1.0.1","MIT","node_modules/utils-merge"
"uuid","11.0.3","MIT","node_modules/uuid"
"uuid","11.1.0","MIT","node_modules/typeorm/node_modules/uuid"
"uuid","9.0.1","MIT","node_modules/@nestjs/typeorm/node_modules/uuid"
"v8-compile-cache-lib","3.0.1","MIT","node_modules/v8-compile-cache-lib"
"validator","13.15.26","MIT","node_modules/validator"
"vary","1.1.2","MIT","node_modules/vary"
"webdriver-bidi-protocol","0.4.1","Apache-2.0","node_modules/webdriver-bidi-protocol"
"webidl-conversions","3.0.1","BSD-2-Clause","node_modules/webidl-conversions"
"whatsapp-web.js","1.34.7","Apache-2.0","node_modules/whatsapp-web.js"
"whatwg-url","5.0.0","MIT","node_modules/whatwg-url"
"which-typed-array","1.1.20","MIT","node_modules/which-typed-array"
"which","1.3.1","ISC","node_modules/fluent-ffmpeg/node_modules/which"
"which","2.0.2","ISC","node_modules/which"
"wide-align","1.1.5","ISC","node_modules/wide-align"
"widest-line","3.1.0","MIT","node_modules/widest-line"
"wrap-ansi","7.0.0","MIT","node_modules/boxen/node_modules/wrap-ansi | node_modules/cliui/node_modules/wrap-ansi | node_modules/wrap-ansi-cjs"
"wrap-ansi","8.1.0","MIT","node_modules/@isaacs/cliui/node_modules/wrap-ansi"
"wrappy","1.0.2","ISC","node_modules/wrappy"
"ws","8.20.1","MIT","node_modules/ws"
"xtend","4.0.2","MIT","node_modules/xtend"
"y18n","5.0.8","ISC","node_modules/y18n"
"yallist","4.0.0","ISC","node_modules/fs-minipass/node_modules/yallist | node_modules/minizlib/node_modules/yallist | node_modules/tar/node_modules/yallist"
"yargs-parser","21.1.1","ISC","node_modules/yargs-parser"
"yargs","17.7.2","MIT","node_modules/yargs"
"yauzl","2.10.0","MIT","node_modules/yauzl"
"yn","3.1.1","MIT","node_modules/yn"
"zip-stream","6.0.1","MIT","node_modules/zip-stream"
"zod","3.25.76","MIT","node_modules/zod"
