"package","version","declared_licence","repository_paths"
"available-typed-arrays","1.0.7","MIT","node_modules/available-typed-arrays"
"b4a","1.8.1","Apache-2.0","node_modules/b4a"
"balanced-match","1.0.2","MIT","node_modules/balanced-match"
"bare-events","2.8.3","Apache-2.0","node_modules/bare-events"
"bare-fs","4.7.1","Apache-2.0","node_modules/bare-fs"
"bare-os","3.9.1","Apache-2.0","node_modules/bare-os"
"bare-path","3.0.0","Apache-2.0","node_modules/bare-path"
"bare-stream","2.13.1","Apache-2.0","node_modules/bare-stream"
"bare-url","2.4.3","Apache-2.0","node_modules/bare-url"
"base64-js","1.5.1","MIT","node_modules/base64-js"
"basic-ftp","5.3.1","MIT","node_modules/basic-ftp"
"bcrypt","5.1.1","MIT","node_modules/bcrypt"
"better-sqlite3","12.9.0","MIT","node_modules/better-sqlite3"
"bindings","1.5.0","MIT","node_modules/bindings"
"bl","4.1.0","MIT","node_modules/bl"
"bluebird","3.7.2","MIT","node_modules/bluebird"
"body-parser","1.20.4","MIT","node_modules/body-parser"
"boxen","5.1.2","MIT","node_modules/boxen"
"brace-expansion","1.1.12","MIT","node_modules/brace-expansion"
"brace-expansion","2.0.2","MIT","node_modules/glob/node_modules/brace-expansion | node_modules/typeorm/node_modules/brace-expansion"
"brace-expansion","2.1.0","MIT","node_modules/readdir-glob/node_modules/brace-expansion"
"buffer-crc32","0.2.13","MIT","node_modules/buffer-crc32"
"buffer-crc32","1.0.0","MIT","node_modules/archiver/node_modules/buffer-crc32"
"buffer-equal-constant-time","1.0.1","BSD-3-Clause","node_modules/buffer-equal-constant-time"
"buffer-from","1.1.2","MIT","node_modules/buffer-from"
"buffer","5.7.1","MIT","node_modules/buffer"
"buffer","6.0.3","MIT","node_modules/archiver-utils/node_modules/buffer | node_modules/archiver/node_modules/buffer | node_modules/compress-commons/node_modules/buffer | node_modules/crc32-stream/node_modules/buffer | node_modules/typeorm/node_modules/buffer | node_modules/zip-stream/node_modules/buffer"
"bullmq","5.80.10","MIT","node_modules/bullmq"
"busboy","1.6.0","MIT","node_modules/busboy"
"bytes","3.1.2","MIT","node_modules/bytes"
"call-bind-apply-helpers","1.0.2","MIT","node_modules/call-bind-apply-helpers"
"call-bind","1.0.8","MIT","node_modules/call-bind"
"call-bound","1.0.4","MIT","node_modules/call-bound"
"callsites","3.1.0","MIT","node_modules/callsites"
"camelcase","6.3.0","MIT","node_modules/boxen/node_modules/camelcase"
"chalk","4.1.2","MIT","node_modules/chalk"
"check-disk-space","3.4.0","MIT","node_modules/check-disk-space"
"chownr","1.1.4","ISC","node_modules/prebuild-install/node_modules/chownr"
"chownr","2.0.0","ISC","node_modules/chownr"
"chromium-bidi","14.0.0","Apache-2.0","node_modules/chromium-bidi"
"class-transformer","0.5.1","MIT","node_modules/class-transformer"
"class-validator","0.14.4","MIT","node_modules/class-validator"
"cli-boxes","2.2.1","MIT","node_modules/cli-boxes"
"cliui","8.0.1","ISC","node_modules/cliui"
"cluster-key-slot","1.1.1","Apache-2.0","node_modules/cluster-key-slot"
"color-convert","2.0.1","MIT","node_modules/color-convert"
"color-name","1.1.4","MIT","node_modules/color-name"
"color-support","1.1.3","ISC","node_modules/color-support"
"compress-commons","6.0.2","MIT","node_modules/compress-commons"
"concat-map","0.0.1","MIT","node_modules/concat-map"
"concat-stream","2.0.0","MIT","node_modules/concat-stream"
"consola","2.15.3","MIT","node_modules/consola"
"console-control-strings","1.1.0","ISC","node_modules/console-control-strings"
"content-disposition","0.5.4","MIT","node_modules/content-disposition"
"content-type","1.0.5","MIT","node_modules/content-type"
"cookie-signature","1.0.7","MIT","node_modules/cookie-signature"
"cookie","0.7.2","MIT","node_modules/cookie"
"core-util-is","1.0.3","MIT","node_modules/core-util-is"
"cors","2.8.5","MIT","node_modules/cors"
"cosmiconfig","9.0.1","MIT","node_modules/puppeteer/node_modules/cosmiconfig"
