"package","version","in_repository_production_resolution","in_packaged_application","packaged_instance_count","declared_licence","collected_direct_text_count","technical_classification"
"@nestjs/jwt","10.2.0","true","false","0","MIT","0","NOT_SHIPPED"
"@nestjs/mapped-types","2.0.5","true","false","0","MIT","0","NOT_SHIPPED"
"@nestjs/mapped-types","2.1.0","true","true","1","MIT","1","SHIPPED_NOTICE_TEXT_COLLECTED"
"@nestjs/platform-express","10.4.22","true","true","1","MIT","1","SHIPPED_NOTICE_TEXT_COLLECTED"
"@nestjs/schedule","4.1.2","true","true","1","MIT","1","SHIPPED_NOTICE_TEXT_COLLECTED"
"@nestjs/swagger","7.4.2","true","false","0","MIT","0","NOT_SHIPPED"
"@nestjs/terminus","11.1.1","true","false","0","MIT","0","NOT_SHIPPED"
"@nestjs/throttler","6.5.0","true","false","0","MIT","0","NOT_SHIPPED"
"@nestjs/typeorm","10.0.2","true","true","1","MIT","1","SHIPPED_NOTICE_TEXT_COLLECTED"
"@nuxtjs/opencollective","0.3.2","true","true","1","MIT","1","SHIPPED_NOTICE_TEXT_COLLECTED"
"@patrol/customer-portal","0.1.0","true","false","0","[missing]","0","NOT_SHIPPED"
"@patrol/license-api","0.1.0","true","false","0","[missing]","0","NOT_SHIPPED"
"@patrol/license-core","0.1.0","true","true","1","UNLICENSED","0","SHIPPED_INTERNAL_PRODUCT_COMPONENT"
"@patrol/license-portal","0.1.0","true","false","0","[missing]","0","NOT_SHIPPED"
"@pkgjs/parseargs","0.11.0","true","true","1","MIT","1","SHIPPED_NOTICE_TEXT_COLLECTED"
"@prisma/client","5.22.0","true","false","0","Apache-2.0","0","NOT_SHIPPED"
"@prisma/debug","5.22.0","true","false","0","Apache-2.0","0","NOT_SHIPPED"
"@prisma/engines-version","5.22.0-44.605197351a3c8bdd595af2d2a9bc3025bca48ea2","true","false","0","Apache-2.0","0","NOT_SHIPPED"
"@prisma/engines","5.22.0","true","false","0","Apache-2.0","0","NOT_SHIPPED"
"@prisma/fetch-engine","5.22.0","true","false","0","Apache-2.0","0","NOT_SHIPPED"
"@prisma/get-platform","5.22.0","true","false","0","Apache-2.0","0","NOT_SHIPPED"
"@puppeteer/browsers","2.13.0","true","true","1","Apache-2.0","0","SHIPPED_NOTICE_TEXT_COLLECTED"
"@remix-run/router","1.23.3","true","false","0","MIT","0","NOT_SHIPPED"
"@sqltools/formatter","1.2.5","true","true","1","MIT","1","SHIPPED_NOTICE_TEXT_COLLECTED"
"@tokenizer/inflate","0.2.7","true","true","1","MIT","1","SHIPPED_NOTICE_TEXT_COLLECTED"
"@tokenizer/token","0.3.0","true","true","1","MIT","0","SHIPPED_NOTICE_TEXT_COLLECTED"
"@tootallnate/quickjs-emscripten","0.23.0","true","true","1","MIT","1","SHIPPED_NOTICE_TEXT_COLLECTED"
"@tsconfig/node10","1.0.12","true","false","0","MIT","0","NOT_SHIPPED"
